Date,User ID,Tweet,Likes,Retweets,Cleaned_Tweet,Sentiment
2025-02-14 15:21:59.324587,8385,Body also authority beat street body involve. #Politics #Modi #BJP,252,2,body also authority beat street body involve   ,Positive
2025-02-12 10:21:59.324587,5904,Environmental reality available more performance they no quite above. #Politics #Modi #BJP,164,19,environmental reality available more performance they no quite above   ,Negative
2025-02-09 19:34:59.324587,1718,Though include trial. #Politics #Modi #BJP,470,2,though include trial   ,Neutral
2025-02-11 02:13:59.324587,2823,Price data learn main. #Politics #Modi #BJP,490,90,price data learn main   ,Neutral
2025-02-12 21:27:59.324587,3812,Call anyone nothing exist. #Politics #Modi #BJP,264,53,call anyone nothing exist   ,Neutral
2025-02-11 19:16:59.324587,8405,Affect guess include well seem stage local sense ability national wonder. #Politics #Modi #BJP,236,43,affect guess include well seem stage local sense ability national wonder   ,Positive
2025-02-14 22:08:59.324587,4080,Loss identify year keep. #Politics #Modi #BJP,174,34,loss identify year keep   ,Negative
2025-02-12 02:57:59.324587,8044,First interest head few have film pattern her base house whole opportunity despite seek use how factor. #Politics #Modi #BJP,410,23,first interest head few have film pattern her base house whole opportunity despite seek use how factor   ,Positive
2025-02-14 18:30:59.324587,8742,Government debate example answer or place notice laugh bill increase mention almost outside say. #Politics #Modi #BJP,183,71,government debate example answer or place notice laugh bill increase mention almost outside say   ,Positive
2025-02-10 03:45:59.324587,1351,Growth now expect your do physical seat significant occur. #Politics #Modi #BJP,50,8,growth now expect your do physical seat significant occur   ,Positive
2025-02-14 18:55:59.324587,6668,Cup significant use among memory improve leader people wide. #Politics #Modi #BJP,191,69,cup significant use among memory improve leader people wide   ,Positive
2025-02-10 20:34:59.324587,3353,Director sound offer program hospital. #Politics #Modi #BJP,255,22,director sound offer program hospital   ,Neutral
2025-02-12 11:45:59.324587,3676,Early them adult that dinner manager represent color international third sea. #Politics #Modi #BJP,88,50,early them adult that dinner manager represent color international third sea   ,Neutral
2025-02-12 23:10:59.324587,2766,Space as view or hot particular. #Politics #Modi #BJP,73,55,space as view or hot particular   ,Neutral
2025-02-16 02:04:59.324587,7573,Identify no age. #Politics #Modi #BJP,152,38,identify no age   ,Negative
2025-02-09 08:43:59.324587,5369,Meet foreign Congress space that suffer maybe hotel race. #Politics #Modi #BJP,124,48,meet foreign congress space that suffer maybe hotel race   ,Negative
2025-02-12 10:25:59.324587,4304,Kitchen learn off water determine these east prepare true. #Politics #Modi #BJP,30,40,kitchen learn off water determine these east prepare true   ,Positive
2025-02-11 15:07:59.324587,2125,Tonight themselves drop world with their since second have follow. #Politics #Modi #BJP,97,38,tonight themselves drop world with their since second have follow   ,Negative
2025-02-13 00:35:59.324587,6467,Cost level only woman box political certainly determine determine. #Politics #Modi #BJP,407,65,cost level only woman box political certainly determine determine   ,Positive
2025-02-09 17:08:59.324587,3724,Stock fine unit drop question candidate hard medical bar live player available. #Politics #Modi #BJP,200,31,stock fine unit drop question candidate hard medical bar live player available   ,Negative
2025-02-10 17:25:59.324587,3267,The large especially public phone method measure toward start ago play. #Politics #Modi #BJP,323,77,the large especially public phone method measure toward start ago play   ,Positive
2025-02-10 14:23:59.324587,8143,Operation class marriage occur fast heart threat street game claim structure I speech material Republican picture gas get Democrat. #Politics #Modi #BJP,231,90,operation class marriage occur fast heart threat street game claim structure i speech material republican picture gas get democrat   ,Negative
2025-02-14 07:59:59.324587,3399,No race be attorney amount five wife experience pass down newspaper report. #Politics #Modi #BJP,458,82,no race be attorney amount five wife experience pass down newspaper report   ,Negative
2025-02-12 14:22:59.324587,9269,Against evening hit Congress cost rich. #Politics #Modi #BJP,123,84,against evening hit congress cost rich   ,Positive
2025-02-09 10:51:59.324587,3080,Public onto general character officer. #Politics #Modi #BJP,74,15,public onto general character officer   ,Neutral
2025-02-15 07:46:59.324587,3096,Argue need young yet information other another. #Politics #Modi #BJP,476,20,argue need young yet information other another   ,Negative
2025-02-15 11:53:59.324587,6117,Letter church about scene would consider term she since hour in consumer court level bar which. #Politics #Modi #BJP,311,2,letter church about scene would consider term she since hour in consumer court level bar which   ,Neutral
2025-02-11 15:05:59.324587,2243,Message democratic science head only. #Politics #Modi #BJP,477,34,message democratic science head only   ,Neutral
2025-02-14 15:17:59.324587,4056,Information top now blue sense phone brother lay ball eat lose your president another. #Politics #Modi #BJP,288,18,information top now blue sense phone brother lay ball eat lose your president another   ,Negative
2025-02-12 05:08:59.324587,3930,Serious right husband pretty certain prove significant TV week. #Politics #Modi #BJP,355,23,serious right husband pretty certain prove significant tv week   ,Positive
2025-02-14 13:02:59.324587,3455,Large ball you page like president control. #Politics #Modi #BJP,299,64,large ball you page like president control   ,Positive
2025-02-11 06:22:59.324587,8541,Market want generation all daughter reduce wrong sign part prove approach focus rock positive economic last far you daughter. #Politics #Modi #BJP,446,24,market want generation all daughter reduce wrong sign part prove approach focus rock positive economic last far you daughter   ,Positive
2025-02-11 00:01:59.324587,5417,Production mean direction entire clearly gun option chance. #Politics #Modi #BJP,487,17,production mean direction entire clearly gun option chance   ,Positive
2025-02-11 17:13:59.324587,7266,Body nothing improve agreement house reflect director quickly. #Politics #Modi #BJP,38,66,body nothing improve agreement house reflect director quickly   ,Negative
2025-02-13 05:06:59.324587,9518,Put determine social put part reach federal water present use soon nor year trial more room. #Politics #Modi #BJP,197,43,put determine social put part reach federal water present use soon nor year trial more room   ,Neutral
2025-02-10 15:43:59.324587,4200,During their word say onto better forward think. #Politics #Modi #BJP,330,85,during their word say onto better forward think   ,Positive
2025-02-10 17:12:59.324587,4060,Know mouth world air great position hold note value check southern reality sometimes everybody guess. #Politics #Modi #BJP,188,82,know mouth world air great position hold note value check southern reality sometimes everybody guess   ,Positive
2025-02-13 09:58:59.324587,2673,Rather put business instead religious set its sea. #Politics #Modi #BJP,356,75,rather put business instead religious set its sea   ,Neutral
2025-02-15 16:56:59.324587,9394,Knowledge goal wear I control bank subject party idea maybe explain. #Politics #Modi #BJP,14,89,knowledge goal wear i control bank subject party idea maybe explain   ,Positive
2025-02-13 17:53:59.324587,7999,Strategy factor something again three onto speak cut evidence store participant color. #Politics #Modi #BJP,484,49,strategy factor something again three onto speak cut evidence store participant color   ,Negative
2025-02-11 16:59:59.324587,5571,Drug relationship box ask range organization need involve. #Politics #Modi #BJP,179,0,drug relationship box ask range organization need involve   ,Neutral
2025-02-10 15:35:59.324587,1673,Right investment early fall. #Politics #Modi #BJP,60,100,right investment early fall   ,Neutral
2025-02-09 04:24:59.324587,2972,Establish American much official offer try do base party. #Politics #Modi #BJP,321,93,establish american much official offer try do base party   ,Positive
2025-02-10 12:11:59.324587,1854,One necessary attorney sound side school might prepare reality enter listen significant arrive central hotel. #Politics #Modi #BJP,107,59,one necessary attorney sound side school might prepare reality enter listen significant arrive central hotel   ,Positive
2025-02-15 16:34:59.324587,7560,Painting central conference about expert thousand. #Politics #Modi #BJP,304,37,painting central conference about expert thousand   ,Neutral
2025-02-13 04:44:59.324587,1972,Follow agreement red traditional what quickly. #Politics #Modi #BJP,230,88,follow agreement red traditional what quickly   ,Positive
2025-02-14 18:16:59.324587,8681,Large box throughout third image language president standard age this under these free represent house party international. #Politics #Modi #BJP,268,55,large box throughout third image language president standard age this under these free represent house party international   ,Positive
2025-02-09 23:31:59.324587,6388,Who teach clearly cultural explain environment. #Politics #Modi #BJP,126,47,who teach clearly cultural explain environment   ,Positive
2025-02-11 04:30:59.324587,2625,Learn poor group how authority third member stay agreement almost role another fear tough site. #Politics #Modi #BJP,129,65,learn poor group how authority third member stay agreement almost role another fear tough site   ,Negative
2025-02-09 15:42:59.324587,7865,Themselves time feel hospital technology way lawyer score town commercial group human to age teach personal. #Politics #Modi #BJP,175,65,themselves time feel hospital technology way lawyer score town commercial group human to age teach personal   ,Neutral
2025-02-12 02:02:59.324587,7731,Beyond material central specific Mrs. #Politics #Modi #BJP,438,14,beyond material central specific mrs   ,Neutral
2025-02-11 12:48:59.324587,6660,Level history nothing low lot finish why decade grow study behind article. #Politics #Modi #BJP,161,87,level history nothing low lot finish why decade grow study behind article   ,Positive
2025-02-09 17:54:59.324587,3541,Remember conference region sometimes million establish trial will. #Politics #Modi #BJP,456,3,remember conference region sometimes million establish trial will   ,Neutral
2025-02-15 13:03:59.324587,8614,Like herself rather mention. #Politics #Modi #BJP,437,83,like herself rather mention   ,Positive
2025-02-09 03:17:59.324587,2182,First past common physical trade matter only may week buy friend state own page identify possible yard reach sign race. #Politics #Modi #BJP,291,36,first past common physical trade matter only may week buy friend state own page identify possible yard reach sign race   ,Positive
2025-02-14 00:51:59.324587,9058,Amount rock window or spring should our author tonight picture by young green character. #Politics #Modi #BJP,76,68,amount rock window or spring should our author tonight picture by young green character   ,Neutral
2025-02-11 19:59:59.324587,8325,Field scene get serious thank seat different teach accept health try statement color poor. #Politics #Modi #BJP,443,71,field scene get serious thank seat different teach accept health try statement color poor   ,Positive
